NCM;EX;DESCRICAO;ALIQUOTA
02031900;;-- Outras ;0
02032;;- Congeladas:;
02032100;;-- Carcaças e meias-carcaças ;0
02032200;;-- Pernas, pás e respectivos pedaços, não desossados ;0
02032900;;-- Outras ;0
0204;;Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.;
02041000;;- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas ;0
02042;;- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:;
02042100;;-- Carcaças e meias-carcaças ;0
02042200;;-- Outras peças não desossadas ;0
02042300;;-- Desossadas ;0
02043000;;- Carcaças e meias-carcaças de cordeiro, congeladas ;0
02044;;- Outras carnes de animais da espécie ovina, congeladas:;
02044100;;-- Carcaças e meias-carcaças ;0
02044200;;-- Outras peças não desossadas ;0
02044300;;-- Desossadas ;0
02045000;;- Carnes de animais da espécie caprina ;0
02050000;;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas. ;0
0206;;Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;
02061000;;- Da espécie bovina, frescas ou refrigeradas ;0
02062;;- Da espécie bovina, congeladas:;
02062100;;-- Línguas ;0
02062200;;-- Fígados ;0
020629;;-- Outras;
02062910;;Rabos ;0
02062990;;Outros ;0
02063000;;- Da espécie suína, frescas ou refrigeradas ;0
02064;;- Da espécie suína, congeladas:;
02064100;;-- Fígados ;0
02064900;;-- Outras ;0
02068000;;- Outras, frescas ou refrigeradas ;0
02069000;;- Outras, congeladas ;0
0207;;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.;
02071;;- De aves da espécie Gallus domesticus:;
02071100;;-- Não cortadas em pedaços, frescas ou refrigeradas ;0
020712;;-- Não cortadas em pedaços, congeladas ;
02071210;;       Com miudezas;0
02071220;;       Sem miudezas;0
02071300;;-- Pedaços e miudezas, frescos ou refrigerados ;0
020714;;-- Pedaços e miudezas, congelados ;
0207141;;    Pedaços não desossados;
02071411;;      Peitos;0
02071412;;      Coxas com sobrecoxas;0
02071413;;      Asas;0
02071419;;      Outros;0
0207142;;    Pedaços desossados;
02071421;;      Peitos, coxas e sobrecoxas, formando uma só peça;0
02071422;;      Peitos;0
02071423;;      Coxas com sobrecoxas;0
02071424;;      Carne mecanicamente separada;0
02071429;;      Outros;0
0207143;;    Miudezas;
02071431;;      Fígados;0
02071432;;      Moelas;0
02071433;;      Corações;0
02071434;;      Pés e patas;0
02071439;;      Outras;0
02072;;- De peruas e de perus:;
02072400;;-- Não cortadas em pedaços, frescas ou refrigeradas ;0
02072500;;-- Não cortadas em pedaços, congeladas ;0
02072600;;-- Pedaços e miudezas, frescos ou refrigerados ;0
02072700;;-- Pedaços e miudezas, congelados ;0
02074;;- De patos:;
02074100;;-- Não cortadas em pedaços, frescas ou refrigeradas ;0
02074200;;-- Não cortadas em pedaços, congeladas ;0
02074300;;-- Fígados gordos (foies gras), frescos ou refrigerados ;0
02074400;;-- Outras, frescas ou refrigeradas ;0
02074500;;-- Outras, congeladas ;0
02075;;- De gansos:;
02075100;;-- Não cortadas em pedaços, frescas ou refrigeradas ;0
02075200;;-- Não cortadas em pedaços, congeladas ;0
02075300;;-- Fígados gordos (foies gras), frescos ou refrigerados ;0
02075400;;-- Outras, frescas ou refrigeradas ;0
02075500;;-- Outras, congeladas ;0
02076000;;- De galinhas-d'angola (pintadas) ;0
0208;;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.;
02081000;;- De coelhos ou lebres ;0
02083000;;- De primatas ;0
02084000;;"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea), de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia), de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia) ";0
02085000;;- De répteis (incluindo as serpentes e as tartarugas marinhas) ;0
02086000;;- De camelos e outros camelídeos (Camelidae) ;0
02089000;;- Outras ;0
0209;;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).;
02091;;- De porco;
0209101;;Toucinho;
02091011;;Fresco, refrigerado ou congelado ;0
02091019;;Outros ;0
0209102;;Gordura;
02091021;;Fresca, refrigerada ou congelada ;0
02091029;;Outras ;0
02099000;;- Outros ;0
021;;Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas (fumadas), farinhas e pós, comestíveis, de carnes ou de miudezas.;
02101;;- Carnes da espécie suína:;
02101100;;-- Pernas, pás e respectivos pedaços, não desossados ;0
02101200;;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços ;0
02101900;;-- Outras ;0
02102000;;- Carnes da espécie bovina ;0
02109;;- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:;
02109100;;-- De primatas ;0
02109100;01;Miudezas, farinhas e pós dessas miudezas;NT
02109200;;-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea), de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia), de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia);0
02109200;01;Miudezas, farinhas e pós dessas miudezas;NT
02109300;;-- De répteis (incluindo as serpentes e as tartarugas marinhas) ;0
02109300;01;Miudezas, farinhas e pós dessas miudezas;NT
021099;;-- Outras;
0210991;;Carnes de aves da posição 01.05;
02109911;;De galos e de galinhas ;0
02109919;;Outras ;0
02109920;;Carnes da espécie ovina ;0
02109930;;Carnes da espécie cavalar ;0
02109940;;Miudezas comestíveis ;NT
02109990;;Outras ;0
02109990;01;Farinhas e pós das miudezas do código 0210.99.40;NT
0301;;Peixes vivos.;
03011;;- Peixes ornamentais:;
030111;;-- De água doce;
03011110;;Aruanã (Osteoglossum bicirrhosum) ;NT
03011190;;Outros ;NT
03011900;;-- Outros ;NT
03019;;- Outros peixes vivos:;
030191;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);
03019110;;Para reprodução ;NT
03019190;;Outras ;NT
030192;;-- Enguias (Anguilla spp.);
03019210;;Para reprodução ;NT
03019290;;Outras ;NT
030193;;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);
03019310;;Para reprodução ;NT
03019390;;Outras ;NT
030194;;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis);
03019410;;Para reprodução ;NT
03019490;;Outras ;NT
030195;;-- Atum-azul do sul (atum) (Thunnus maccoyii);
03019510;;Para reprodução ;NT
03019590;;Outros ;NT
030199;;-- Outros;
0301991;;Para reprodução;
03019911;;Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp., seus híbridos) ;NT
03019912;;Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ;NT
03019919;;Outros ;NT
0301999;;Outros;
03019991;;Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp., seus híbridos) ;NT
03019992;;Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ;NT
03019999;;Outros ;NT
0302;;Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04.;
03021;;- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;
03021100;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ;0
03021300;;-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus) ;0
03021400;;-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho) ;0
03021900;;-- Outros ;0
03022;;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;
03022100;;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) ;0
03022200;;-- Solha (Pleuronectes platessa) ;0
03022300;;-- Linguados (Solea spp.) ;0
03022400;;-- Pregado (Psetta maxima) ;0
03022900;;-- Outros ;0
03023;;- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;
03023100;;-- Albacora-branca (atum) (Thunnus alalunga) ;0
03023200;;-- Albacora-laje (atum) (Thunnus albacares) ;0
03023300;;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis) ;0
03023400;;-- Albacora-bandolim (atum) (Thunnus obesus) ;0
03023500;;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis) ;0
03023600;;-- Atum-azul do sul (atum) (Thunnus maccoyii) ;0
03023900;;-- Outros ;0
03024;;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;
03024100;;-- Arenques (Clupea harengus, Clupea pallasii) ;0
30242;;-- Anchovas (Biqueirões*) (Engraulis spp.);
03024210;;Anchoita (Engraulis anchoita) ;0
03024290;;Outros ;0
03024300;;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus) ;0
03024400;;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus) ;0
03024500;;-- Carapaus (Trachurus spp.) ;0
03024600;;-- Bijupirá (Cobia*) (Rachycentron canadum) ;0
03024700;;-- Espadarte (Xiphias gladius) ;0
30249;;-- Outros;
03024910;;Espadins, marlins, veleiros (Istiophoridae) ;0
03024990;;Outros ;0
03025;;- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:C253;
03025100;;-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus) ;0
03025200;;-- Hadoque (Arinca*) (Melanogrammus aeglefinus) ;0
03025300;;-- Saithe (Escamudo*) (Pollachius virens) ;0
03025400;;-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.) ;0
03025500;;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma) ;0
03025600;;-- Verdinhos (Micromesistius poutassou, Micromesistius australis) ;0
03025900;;-- Outros ;0
03027;;- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de serpente (Channa spp.), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;
03027100;;-- Tilápias (Oreochromis spp.) ;0
030272;;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);
03027210;;Bagre americano (Ictalurus punctatus) ;0
03027290;;Outros ;0
03027300;;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) ;0
03027400;;-- Enguias (Anguilla spp.) ;0
03027900;;-- Outros ;0
03028;;- Outros peixes, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:;
03028100;;-- Cação e outros tubarões ;0
03028200;;-- Raias (Rajidae) ;0
030283;;-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.);
03028310;;Merluza negra (Dissostichus eleginoides) ;0
03028320;;Merluza antártica (Dissostichus mawsoni) ;0
03028400;;-- Robalos (Dicentrarchus spp.) ;0
03028500;;-- Esparídeos (Sparidae) ;0
030289;;-- Outros;
03028910;;Pargo (Lutjanus purpureus) ;0
0302892;;"Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturjão (Acipenser baerii) e
peixes-rei (Atherina spp.)";
03028921;;Cherne-poveiro (Polyprion americanus) ;0
03028922;;Garoupas (Acanthistius spp.) ;0
03028923;;Esturjão (Acipenser baerii) ;0
03028924;;Peixes-rei (Atherina spp.) ;0
0302893;;Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp., seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynoscion spp.);
03028931;;Curimatãs (Prochilodus spp.) ;0
03028932;;Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp., seus híbridos) ;0
03028933;;Surubins (Pseudoplatystoma spp.) ;0
03028934;;Traíra (Hoplias malabaricus & H. cf. lacerdae) ;0
03028935;;Piaus (Leporinus spp.) ;0
03028936;;Tainhas (Mugil spp.) ;0
03028937;;Pirarucu (Arapaima gigas) ;0
03028938;;Pescadas (Cynoscion spp.) ;0
0302894;;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu);
03028941;;Piramutaba (Brachyplatystoma vaillantii) ;0
03028942;;Dourada (Brachyplatystoma flavicans) ;0
03028943;;Pacu (Piaractus mesopotamicus) ;0
03028944;;Tambaqui (Colossoma macropomum) ;0
03028945;;Tambacu (híbrido de tambaqui e pacu) ;0
03028990;;Outros ;0
03029;;- Fígados, ovas, gônadas masculinas, barbatanas, cabeças, caudas, bexigas-natatórias e outros subprodutos comestíveis de peixes:;
030291;;-- Fígados, ovas e gônadas masculinas ;
03029110;;       Ovas de tainhas (Mugil spp.);0
03029190;;       Outros;0
03029200;;-- Barbatanas de tubarão ;0
03029900;;-- Outros ;0
303;;Peixes congelados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04.;
03031;;- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:;
03031100;;-- Salmão-do-pacífico (salmão-vermelho) (Oncorhynchus nerka) ;0
03031200;;-- Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus) ;0
03031300;;-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho) ;0
03031400;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ;0
03031900;;-- Outros ;0
03032;;- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de serpente (Channa spp.), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:;
03032300;;-- Tilápias (Oreochromis spp.) ;0
30324;;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);
03032410;;Bagre americano (Ictalurus punctatus) ;0
03032490;;Outros ;0
03032500;;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) ;0
03032600;;-- Enguias (Anguilla spp.) ;0
03032900;;-- Outros ;0
03033;;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:;
03033100;;"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus,
Hippoglossus stenolepis) ";0
03033200;;-- Solha (Pleuronectes platessa) ;0
03033300;;-- Linguados (Solea spp.) ;0
03033400;;-- Pregado (Psetta maxima) ;0
03033900;;-- Outros ;0
03034;;- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:;
03034100;;-- Albacora-branca (atum) (Thunnus alalunga) ;0
03034200;;-- Albacora-laje (atum) (Thunnus albacares) ;0
03034300;;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis) ;0
03034400;;-- Albacora-bandolim (atum) (Thunnus obesus) ;0
03034500;;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis) ;0
03034600;;-- Atum-azul do sul (atum) (Thunnus maccoyii) ;0
03034900;;-- Outros ;0
03035;;"- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comestíveis de
peixes das subposições 0303.91 a 0303.99:";
03035100;;-- Arenques (Clupea harengus, Clupea pallasii) ;0
03035300;;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus) ;0
03035400;;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus) ;0
03035500;;-- Carapaus (Trachurus spp.) ;0
03035600;;-- Bijupirá (Cobia*) (Rachycentron canadum) ;0
03035700;;-- Espadarte (Xiphias gladius) ;0
030359;;-- Outros;
03035910;;Espadins, marlins, veleiros (Istiophoridae) ;0
03035920;;Anchoita (Engraulis anchoita) ;0
03035990;;Outros ;0
03036;;"- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,
Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveis de peixes das subposições
0303.91 a 0303.99:";
03036300;;-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus) ;0
03036400;;-- Hadoque (Arinca*) (Melanogrammus aeglefinus) ;0
03036500;;-- Saithe (Escamudo*) (Pollachius virens) ;0
03036600;;-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.) ;0
03036700;;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma) ;0
03036800;;-- Verdinhos (Micromesistius poutassou, Micromesistius australis) ;0
30369;;-- Outros;
03036910;;Merluza rosada (Macruronus magellanicus) ;0
03036990;;Outros ;0
03038;;- Outros peixes, exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:;
030381;;-- Cação e outros tubarões;
0303811;;Tubarão-azul (Prionace glauca);
03038111;;Inteiro ;0
03038112;;Eviscerado, sem cabeça e sem barbatanas ;0
03038113;;Em pedaços, com pele ;0
03038114;;Em pedaços, sem pele ;0
03038119;;Outros ;0
03038190;;Outros ;0
03038200;;-- Raias (Rajidae) ;0
030383;;-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.);
0303831;;Merluza negra (Dissostichus eleginoides);
03038311;;Evisceradas, sem cabeça e sem cauda ;0
03038319;;Outras ;0
0303832;;Merluza antártica (Dissostichus mawsoni);
03038321;;Evisceradas, sem cabeça e sem cauda ;0
03038329;;Outras ;0
03038400;;-- Robalos (Dicentrarchus spp.) ;0
30389;;-- Outros;
03038910;;Corvina (Micropogonias furnieri) ;0
03038920;;Pescadas (Cynoscion spp.) ;0
0303893;;Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus);
03038932;;Pargo (Lutjanus purpureus) ;0
03038933;;Peixe-sapo (Lophius gastrophysus) ;0
0303894;;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mugil spp.), esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus), peixes-rei (Atherina spp.) e nototenias (Patagonotothen spp.);
03038941;;Cherne-poveiro (Polyprion americanus) ;0
03038942;;Garoupas (Acanthistius spp.) ;0
03038943;;Tainhas (Mugil spp.) ;0
03038944;;Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ;0
03038945;;Peixes-rei (Atherina spp.) ;0
03038946;;Nototenias (Patagonotothen spp.) ;0
0303895;;Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp., seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.) e pirarucu (Arapaima gigas);
03038951;;Curimatãs (Prochilodus spp.) ;0
03038952;;Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp., seus híbridos) ;0
03038953;;Surubins (Pseudoplatystoma spp.) ;0
03038954;;Traíra (Hoplias malabaricus & H. cf. lacerdae) ;0
03038955;;Piaus (Leporinus spp.) ;0
03038956;;Pirarucu (Arapaima gigas) ;0
0303896;;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu);
03038961;;Piramutaba (Brachyplatystoma vaillantii) ;0
03038962;;Dourada (Brachyplatystoma flavicans) ;0
03038963;;Pacu (Piaractus mesopotamicus) ;0
03038964;;Tambaqui (Colossoma macropomum) ;0
03038965;;Tambacu (híbrido de tambaqui e pacu) ;0
03038990;;Outros ;0
03039;;- Fígados, ovas, gônadas masculinas, barbatanas, cabeças, caudas, bexigas-natatórias e outros subprodutos comestíveis de peixes:;
030391;;-- Fígados, ovas e gônadas masculinas ;
03039110;;       Ovas de tainhas (Mugil spp.);0
03039190;;       Outros;0
03039200;;-- Barbatanas de tubarão ;0
30399;;-- Outros;
03039910;;Cabeças de Merluza negra (Dissostichus eleginoides) ;0
